"country","Date","case_type","value"
"Seychelles",2020-03-11,"Active Cases",0
"Seychelles",2020-03-11,"Total Cases",0
"Seychelles",2020-03-11,"Deaths",0
"Seychelles",2020-03-11,"Recovered",0
"Seychelles",2020-03-12,"Active Cases",0
"Seychelles",2020-03-12,"Total Cases",0
"Seychelles",2020-03-12,"Deaths",0
"Seychelles",2020-03-12,"Recovered",0
"Seychelles",2020-03-13,"Active Cases",0
"Seychelles",2020-03-13,"Total Cases",0
"Seychelles",2020-03-13,"Deaths",0
"Seychelles",2020-03-13,"Recovered",0
"Seychelles",2020-03-14,"Active Cases",2
"Seychelles",2020-03-14,"Total Cases",2
"Seychelles",2020-03-14,"Deaths",0
"Seychelles",2020-03-14,"Recovered",0
"Seychelles",2020-03-15,"Active Cases",2
"Seychelles",2020-03-15,"Total Cases",2
"Seychelles",2020-03-15,"Deaths",0
"Seychelles",2020-03-15,"Recovered",0
"Seychelles",2020-03-16,"Active Cases",3
"Seychelles",2020-03-16,"Total Cases",3
"Seychelles",2020-03-16,"Deaths",0
"Seychelles",2020-03-16,"Recovered",0
"Seychelles",2020-03-17,"Active Cases",4
"Seychelles",2020-03-17,"Total Cases",4
"Seychelles",2020-03-17,"Deaths",0
"Seychelles",2020-03-17,"Recovered",0
"Seychelles",2020-03-18,"Active Cases",4
"Seychelles",2020-03-18,"Total Cases",4
"Seychelles",2020-03-18,"Deaths",0
"Seychelles",2020-03-18,"Recovered",0
"Seychelles",2020-03-19,"Active Cases",6
"Seychelles",2020-03-19,"Total Cases",6
"Seychelles",2020-03-19,"Deaths",0
"Seychelles",2020-03-19,"Recovered",0
"Seychelles",2020-03-20,"Active Cases",7
"Seychelles",2020-03-20,"Total Cases",7
"Seychelles",2020-03-20,"Deaths",0
"Seychelles",2020-03-20,"Recovered",0
"Seychelles",2020-03-21,"Active Cases",7
"Seychelles",2020-03-21,"Total Cases",7
"Seychelles",2020-03-21,"Deaths",0
"Seychelles",2020-03-21,"Recovered",0
"Seychelles",2020-03-22,"Active Cases",7
"Seychelles",2020-03-22,"Total Cases",7
"Seychelles",2020-03-22,"Deaths",0
"Seychelles",2020-03-22,"Recovered",0
"Seychelles",2020-03-23,"Active Cases",7
"Seychelles",2020-03-23,"Total Cases",7
"Seychelles",2020-03-23,"Deaths",0
"Seychelles",2020-03-23,"Recovered",0
"Seychelles",2020-03-24,"Active Cases",7
"Seychelles",2020-03-24,"Total Cases",7
"Seychelles",2020-03-24,"Deaths",0
"Seychelles",2020-03-24,"Recovered",0
"Seychelles",2020-03-25,"Active Cases",7
"Seychelles",2020-03-25,"Total Cases",7
"Seychelles",2020-03-25,"Deaths",0
"Seychelles",2020-03-25,"Recovered",0
"Seychelles",2020-03-26,"Active Cases",7
"Seychelles",2020-03-26,"Total Cases",7
"Seychelles",2020-03-26,"Deaths",0
"Seychelles",2020-03-26,"Recovered",0
"Seychelles",2020-03-27,"Active Cases",7
"Seychelles",2020-03-27,"Total Cases",7
"Seychelles",2020-03-27,"Deaths",0
"Seychelles",2020-03-27,"Recovered",0
"Seychelles",2020-03-28,"Active Cases",8
"Seychelles",2020-03-28,"Total Cases",8
"Seychelles",2020-03-28,"Deaths",0
"Seychelles",2020-03-28,"Recovered",0
"Seychelles",2020-03-29,"Active Cases",8
"Seychelles",2020-03-29,"Total Cases",8
"Seychelles",2020-03-29,"Deaths",0
"Seychelles",2020-03-29,"Recovered",0
"Seychelles",2020-03-30,"Active Cases",8
"Seychelles",2020-03-30,"Total Cases",8
"Seychelles",2020-03-30,"Deaths",0
"Seychelles",2020-03-30,"Recovered",0
"Seychelles",2020-03-31,"Active Cases",10
"Seychelles",2020-03-31,"Total Cases",10
"Seychelles",2020-03-31,"Deaths",0
"Seychelles",2020-03-31,"Recovered",0
"Seychelles",2020-04-01,"Active Cases",10
"Seychelles",2020-04-01,"Total Cases",10
"Seychelles",2020-04-01,"Deaths",0
"Seychelles",2020-04-01,"Recovered",0
"Seychelles",2020-04-02,"Active Cases",10
"Seychelles",2020-04-02,"Total Cases",10
"Seychelles",2020-04-02,"Deaths",0
"Seychelles",2020-04-02,"Recovered",0
"Seychelles",2020-04-03,"Active Cases",10
"Seychelles",2020-04-03,"Total Cases",10
"Seychelles",2020-04-03,"Deaths",0
"Seychelles",2020-04-03,"Recovered",0
"Sierra Leone",2020-01-22,"Active Cases",0
"Sierra Leone",2020-01-22,"Total Cases",0
"Sierra Leone",2020-01-22,"Deaths",0
"Sierra Leone",2020-01-22,"Recovered",0
"Sierra Leone",2020-01-23,"Active Cases",0
"Sierra Leone",2020-01-23,"Total Cases",0
"Sierra Leone",2020-01-23,"Deaths",0
"Sierra Leone",2020-01-23,"Recovered",0
"Sierra Leone",2020-01-24,"Active Cases",0
"Sierra Leone",2020-01-24,"Total Cases",0
"Sierra Leone",2020-01-24,"Deaths",0
"Sierra Leone",2020-01-24,"Recovered",0
"Sierra Leone",2020-01-25,"Active Cases",0
"Sierra Leone",2020-01-25,"Total Cases",0
"Sierra Leone",2020-01-25,"Deaths",0
"Sierra Leone",2020-01-25,"Recovered",0
"Sierra Leone",2020-01-26,"Active Cases",0
"Sierra Leone",2020-01-26,"Total Cases",0
"Sierra Leone",2020-01-26,"Deaths",0
"Sierra Leone",2020-01-26,"Recovered",0
"Sierra Leone",2020-01-27,"Active Cases",0
"Sierra Leone",2020-01-27,"Total Cases",0
"Sierra Leone",2020-01-27,"Deaths",0
"Sierra Leone",2020-01-27,"Recovered",0
"Sierra Leone",2020-01-28,"Active Cases",0
"Sierra Leone",2020-01-28,"Total Cases",0
"Sierra Leone",2020-01-28,"Deaths",0
"Sierra Leone",2020-01-28,"Recovered",0
"Sierra Leone",2020-01-29,"Active Cases",0
"Sierra Leone",2020-01-29,"Total Cases",0
"Sierra Leone",2020-01-29,"Deaths",0
"Sierra Leone",2020-01-29,"Recovered",0
"Sierra Leone",2020-01-30,"Active Cases",0
"Sierra Leone",2020-01-30,"Total Cases",0
"Sierra Leone",2020-01-30,"Deaths",0
"Sierra Leone",2020-01-30,"Recovered",0
"Sierra Leone",2020-01-31,"Active Cases",0
"Sierra Leone",2020-01-31,"Total Cases",0
"Sierra Leone",2020-01-31,"Deaths",0
"Sierra Leone",2020-01-31,"Recovered",0
"Sierra Leone",2020-02-01,"Active Cases",0
"Sierra Leone",2020-02-01,"Total Cases",0
"Sierra Leone",2020-02-01,"Deaths",0
"Sierra Leone",2020-02-01,"Recovered",0
"Sierra Leone",2020-02-02,"Active Cases",0
"Sierra Leone",2020-02-02,"Total Cases",0
"Sierra Leone",2020-02-02,"Deaths",0
"Sierra Leone",2020-02-02,"Recovered",0
"Sierra Leone",2020-02-03,"Active Cases",0
"Sierra Leone",2020-02-03,"Total Cases",0
"Sierra Leone",2020-02-03,"Deaths",0
"Sierra Leone",2020-02-03,"Recovered",0
"Sierra Leone",2020-02-04,"Active Cases",0
"Sierra Leone",2020-02-04,"Total Cases",0
"Sierra Leone",2020-02-04,"Deaths",0
"Sierra Leone",2020-02-04,"Recovered",0
"Sierra Leone",2020-02-05,"Active Cases",0
"Sierra Leone",2020-02-05,"Total Cases",0
"Sierra Leone",2020-02-05,"Deaths",0
"Sierra Leone",2020-02-05,"Recovered",0
"Sierra Leone",2020-02-06,"Active Cases",0
"Sierra Leone",2020-02-06,"Total Cases",0
"Sierra Leone",2020-02-06,"Deaths",0
"Sierra Leone",2020-02-06,"Recovered",0
"Sierra Leone",2020-02-07,"Active Cases",0
"Sierra Leone",2020-02-07,"Total Cases",0
"Sierra Leone",2020-02-07,"Deaths",0
"Sierra Leone",2020-02-07,"Recovered",0
"Sierra Leone",2020-02-08,"Active Cases",0
"Sierra Leone",2020-02-08,"Total Cases",0
"Sierra Leone",2020-02-08,"Deaths",0
"Sierra Leone",2020-02-08,"Recovered",0
"Sierra Leone",2020-02-09,"Active Cases",0
"Sierra Leone",2020-02-09,"Total Cases",0
"Sierra Leone",2020-02-09,"Deaths",0
"Sierra Leone",2020-02-09,"Recovered",0
"Sierra Leone",2020-02-10,"Active Cases",0
"Sierra Leone",2020-02-10,"Total Cases",0
"Sierra Leone",2020-02-10,"Deaths",0
"Sierra Leone",2020-02-10,"Recovered",0
"Sierra Leone",2020-02-11,"Active Cases",0
"Sierra Leone",2020-02-11,"Total Cases",0
"Sierra Leone",2020-02-11,"Deaths",0
"Sierra Leone",2020-02-11,"Recovered",0
"Sierra Leone",2020-02-12,"Active Cases",0
"Sierra Leone",2020-02-12,"Total Cases",0
"Sierra Leone",2020-02-12,"Deaths",0
"Sierra Leone",2020-02-12,"Recovered",0
"Sierra Leone",2020-02-13,"Active Cases",0
"Sierra Leone",2020-02-13,"Total Cases",0
"Sierra Leone",2020-02-13,"Deaths",0
"Sierra Leone",2020-02-13,"Recovered",0
"Sierra Leone",2020-02-14,"Active Cases",0
"Sierra Leone",2020-02-14,"Total Cases",0
"Sierra Leone",2020-02-14,"Deaths",0
"Sierra Leone",2020-02-14,"Recovered",0
"Sierra Leone",2020-02-15,"Active Cases",0
"Sierra Leone",2020-02-15,"Total Cases",0
"Sierra Leone",2020-02-15,"Deaths",0
"Sierra Leone",2020-02-15,"Recovered",0
"Sierra Leone",2020-02-16,"Active Cases",0
"Sierra Leone",2020-02-16,"Total Cases",0
"Sierra Leone",2020-02-16,"Deaths",0
"Sierra Leone",2020-02-16,"Recovered",0
"Sierra Leone",2020-02-17,"Active Cases",0
"Sierra Leone",2020-02-17,"Total Cases",0
"Sierra Leone",2020-02-17,"Deaths",0
"Sierra Leone",2020-02-17,"Recovered",0
"Sierra Leone",2020-02-18,"Active Cases",0
"Sierra Leone",2020-02-18,"Total Cases",0
"Sierra Leone",2020-02-18,"Deaths",0
"Sierra Leone",2020-02-18,"Recovered",0
"Sierra Leone",2020-02-19,"Active Cases",0
"Sierra Leone",2020-02-19,"Total Cases",0
"Sierra Leone",2020-02-19,"Deaths",0
"Sierra Leone",2020-02-19,"Recovered",0
"Sierra Leone",2020-02-20,"Active Cases",0
"Sierra Leone",2020-02-20,"Total Cases",0
"Sierra Leone",2020-02-20,"Deaths",0
"Sierra Leone",2020-02-20,"Recovered",0
"Sierra Leone",2020-02-21,"Active Cases",0
"Sierra Leone",2020-02-21,"Total Cases",0
"Sierra Leone",2020-02-21,"Deaths",0
"Sierra Leone",2020-02-21,"Recovered",0
"Sierra Leone",2020-02-22,"Active Cases",0
"Sierra Leone",2020-02-22,"Total Cases",0
"Sierra Leone",2020-02-22,"Deaths",0
"Sierra Leone",2020-02-22,"Recovered",0
"Sierra Leone",2020-02-23,"Active Cases",0
"Sierra Leone",2020-02-23,"Total Cases",0
"Sierra Leone",2020-02-23,"Deaths",0
"Sierra Leone",2020-02-23,"Recovered",0
"Sierra Leone",2020-02-24,"Active Cases",0
"Sierra Leone",2020-02-24,"Total Cases",0
"Sierra Leone",2020-02-24,"Deaths",0
"Sierra Leone",2020-02-24,"Recovered",0
"Sierra Leone",2020-02-25,"Active Cases",0
"Sierra Leone",2020-02-25,"Total Cases",0
"Sierra Leone",2020-02-25,"Deaths",0
"Sierra Leone",2020-02-25,"Recovered",0
"Sierra Leone",2020-02-26,"Active Cases",0
"Sierra Leone",2020-02-26,"Total Cases",0
"Sierra Leone",2020-02-26,"Deaths",0
"Sierra Leone",2020-02-26,"Recovered",0
"Sierra Leone",2020-02-27,"Active Cases",0
"Sierra Leone",2020-02-27,"Total Cases",0
"Sierra Leone",2020-02-27,"Deaths",0
"Sierra Leone",2020-02-27,"Recovered",0
"Sierra Leone",2020-02-28,"Active Cases",0
"Sierra Leone",2020-02-28,"Total Cases",0
"Sierra Leone",2020-02-28,"Deaths",0
"Sierra Leone",2020-02-28,"Recovered",0
"Sierra Leone",2020-02-29,"Active Cases",0
"Sierra Leone",2020-02-29,"Total Cases",0
"Sierra Leone",2020-02-29,"Deaths",0
"Sierra Leone",2020-02-29,"Recovered",0
"Sierra Leone",2020-03-01,"Active Cases",0
"Sierra Leone",2020-03-01,"Total Cases",0
"Sierra Leone",2020-03-01,"Deaths",0
"Sierra Leone",2020-03-01,"Recovered",0
"Sierra Leone",2020-03-02,"Active Cases",0
"Sierra Leone",2020-03-02,"Total Cases",0
"Sierra Leone",2020-03-02,"Deaths",0
"Sierra Leone",2020-03-02,"Recovered",0
"Sierra Leone",2020-03-03,"Active Cases",0
"Sierra Leone",2020-03-03,"Total Cases",0
"Sierra Leone",2020-03-03,"Deaths",0
"Sierra Leone",2020-03-03,"Recovered",0
"Sierra Leone",2020-03-04,"Active Cases",0
"Sierra Leone",2020-03-04,"Total Cases",0
"Sierra Leone",2020-03-04,"Deaths",0
"Sierra Leone",2020-03-04,"Recovered",0
"Sierra Leone",2020-03-05,"Active Cases",0
"Sierra Leone",2020-03-05,"Total Cases",0
"Sierra Leone",2020-03-05,"Deaths",0
"Sierra Leone",2020-03-05,"Recovered",0
"Sierra Leone",2020-03-06,"Active Cases",0
"Sierra Leone",2020-03-06,"Total Cases",0
"Sierra Leone",2020-03-06,"Deaths",0
"Sierra Leone",2020-03-06,"Recovered",0
"Sierra Leone",2020-03-07,"Active Cases",0
"Sierra Leone",2020-03-07,"Total Cases",0
"Sierra Leone",2020-03-07,"Deaths",0
"Sierra Leone",2020-03-07,"Recovered",0
"Sierra Leone",2020-03-08,"Active Cases",0
"Sierra Leone",2020-03-08,"Total Cases",0
"Sierra Leone",2020-03-08,"Deaths",0
"Sierra Leone",2020-03-08,"Recovered",0
"Sierra Leone",2020-03-09,"Active Cases",0
"Sierra Leone",2020-03-09,"Total Cases",0
"Sierra Leone",2020-03-09,"Deaths",0
"Sierra Leone",2020-03-09,"Recovered",0
"Sierra Leone",2020-03-10,"Active Cases",0
"Sierra Leone",2020-03-10,"Total Cases",0
"Sierra Leone",2020-03-10,"Deaths",0
"Sierra Leone",2020-03-10,"Recovered",0
"Sierra Leone",2020-03-11,"Active Cases",0
"Sierra Leone",2020-03-11,"Total Cases",0
"Sierra Leone",2020-03-11,"Deaths",0
"Sierra Leone",2020-03-11,"Recovered",0
"Sierra Leone",2020-03-12,"Active Cases",0
"Sierra Leone",2020-03-12,"Total Cases",0
"Sierra Leone",2020-03-12,"Deaths",0
"Sierra Leone",2020-03-12,"Recovered",0
"Sierra Leone",2020-03-13,"Active Cases",0
"Sierra Leone",2020-03-13,"Total Cases",0
"Sierra Leone",2020-03-13,"Deaths",0
"Sierra Leone",2020-03-13,"Recovered",0
"Sierra Leone",2020-03-14,"Active Cases",0
"Sierra Leone",2020-03-14,"Total Cases",0
"Sierra Leone",2020-03-14,"Deaths",0
"Sierra Leone",2020-03-14,"Recovered",0
"Sierra Leone",2020-03-15,"Active Cases",0
"Sierra Leone",2020-03-15,"Total Cases",0
"Sierra Leone",2020-03-15,"Deaths",0
"Sierra Leone",2020-03-15,"Recovered",0
"Sierra Leone",2020-03-16,"Active Cases",0
"Sierra Leone",2020-03-16,"Total Cases",0
"Sierra Leone",2020-03-16,"Deaths",0
"Sierra Leone",2020-03-16,"Recovered",0
"Sierra Leone",2020-03-17,"Active Cases",0
"Sierra Leone",2020-03-17,"Total Cases",0
"Sierra Leone",2020-03-17,"Deaths",0
"Sierra Leone",2020-03-17,"Recovered",0
"Sierra Leone",2020-03-18,"Active Cases",0
"Sierra Leone",2020-03-18,"Total Cases",0
"Sierra Leone",2020-03-18,"Deaths",0
"Sierra Leone",2020-03-18,"Recovered",0
"Sierra Leone",2020-03-19,"Active Cases",0
"Sierra Leone",2020-03-19,"Total Cases",0
"Sierra Leone",2020-03-19,"Deaths",0
"Sierra Leone",2020-03-19,"Recovered",0
"Sierra Leone",2020-03-20,"Active Cases",0
"Sierra Leone",2020-03-20,"Total Cases",0
"Sierra Leone",2020-03-20,"Deaths",0
"Sierra Leone",2020-03-20,"Recovered",0
"Sierra Leone",2020-03-21,"Active Cases",0
"Sierra Leone",2020-03-21,"Total Cases",0
"Sierra Leone",2020-03-21,"Deaths",0
"Sierra Leone",2020-03-21,"Recovered",0
"Sierra Leone",2020-03-22,"Active Cases",0
"Sierra Leone",2020-03-22,"Total Cases",0
"Sierra Leone",2020-03-22,"Deaths",0
"Sierra Leone",2020-03-22,"Recovered",0
"Sierra Leone",2020-03-23,"Active Cases",0
"Sierra Leone",2020-03-23,"Total Cases",0
"Sierra Leone",2020-03-23,"Deaths",0
"Sierra Leone",2020-03-23,"Recovered",0
"Sierra Leone",2020-03-24,"Active Cases",0
"Sierra Leone",2020-03-24,"Total Cases",0
"Sierra Leone",2020-03-24,"Deaths",0
"Sierra Leone",2020-03-24,"Recovered",0
"Sierra Leone",2020-03-25,"Active Cases",0
"Sierra Leone",2020-03-25,"Total Cases",0
"Sierra Leone",2020-03-25,"Deaths",0
"Sierra Leone",2020-03-25,"Recovered",0
"Sierra Leone",2020-03-26,"Active Cases",0
"Sierra Leone",2020-03-26,"Total Cases",0
"Sierra Leone",2020-03-26,"Deaths",0
"Sierra Leone",2020-03-26,"Recovered",0
"Sierra Leone",2020-03-27,"Active Cases",0
"Sierra Leone",2020-03-27,"Total Cases",0
"Sierra Leone",2020-03-27,"Deaths",0
"Sierra Leone",2020-03-27,"Recovered",0
"Sierra Leone",2020-03-28,"Active Cases",0
"Sierra Leone",2020-03-28,"Total Cases",0
"Sierra Leone",2020-03-28,"Deaths",0
"Sierra Leone",2020-03-28,"Recovered",0
"Sierra Leone",2020-03-29,"Active Cases",0
"Sierra Leone",2020-03-29,"Total Cases",0
"Sierra Leone",2020-03-29,"Deaths",0
"Sierra Leone",2020-03-29,"Recovered",0
"Sierra Leone",2020-03-30,"Active Cases",0
"Sierra Leone",2020-03-30,"Total Cases",0
"Sierra Leone",2020-03-30,"Deaths",0
"Sierra Leone",2020-03-30,"Recovered",0
"Sierra Leone",2020-03-31,"Active Cases",1
"Sierra Leone",2020-03-31,"Total Cases",1
"Sierra Leone",2020-03-31,"Deaths",0
"Sierra Leone",2020-03-31,"Recovered",0
"Sierra Leone",2020-04-01,"Active Cases",2
"Sierra Leone",2020-04-01,"Total Cases",2
"Sierra Leone",2020-04-01,"Deaths",0
"Sierra Leone",2020-04-01,"Recovered",0
"Sierra Leone",2020-04-02,"Active Cases",2
"Sierra Leone",2020-04-02,"Total Cases",2
"Sierra Leone",2020-04-02,"Deaths",0
"Sierra Leone",2020-04-02,"Recovered",0
"Sierra Leone",2020-04-03,"Active Cases",2
"Sierra Leone",2020-04-03,"Total Cases",2
"Sierra Leone",2020-04-03,"Deaths",0
"Sierra Leone",2020-04-03,"Recovered",0
"Singapore",2020-01-22,"Active Cases",0
"Singapore",2020-01-22,"Total Cases",0
"Singapore",2020-01-22,"Deaths",0
"Singapore",2020-01-22,"Recovered",0
"Singapore",2020-01-23,"Active Cases",1
"Singapore",2020-01-23,"Total Cases",1
"Singapore",2020-01-23,"Deaths",0
"Singapore",2020-01-23,"Recovered",0
"Singapore",2020-01-24,"Active Cases",3
"Singapore",2020-01-24,"Total Cases",3
"Singapore",2020-01-24,"Deaths",0
"Singapore",2020-01-24,"Recovered",0
"Singapore",2020-01-25,"Active Cases",3
"Singapore",2020-01-25,"Total Cases",3
"Singapore",2020-01-25,"Deaths",0
"Singapore",2020-01-25,"Recovered",0
"Singapore",2020-01-26,"Active Cases",4
"Singapore",2020-01-26,"Total Cases",4
"Singapore",2020-01-26,"Deaths",0
"Singapore",2020-01-26,"Recovered",0
"Singapore",2020-01-27,"Active Cases",5
"Singapore",2020-01-27,"Total Cases",5
"Singapore",2020-01-27,"Deaths",0
"Singapore",2020-01-27,"Recovered",0
"Singapore",2020-01-28,"Active Cases",7
"Singapore",2020-01-28,"Total Cases",7
"Singapore",2020-01-28,"Deaths",0
"Singapore",2020-01-28,"Recovered",0
"Singapore",2020-01-29,"Active Cases",7
"Singapore",2020-01-29,"Total Cases",7
"Singapore",2020-01-29,"Deaths",0
"Singapore",2020-01-29,"Recovered",0
"Singapore",2020-01-30,"Active Cases",10
"Singapore",2020-01-30,"Total Cases",10
"Singapore",2020-01-30,"Deaths",0
"Singapore",2020-01-30,"Recovered",0
"Singapore",2020-01-31,"Active Cases",13
"Singapore",2020-01-31,"Total Cases",13
"Singapore",2020-01-31,"Deaths",0
"Singapore",2020-01-31,"Recovered",0
"Singapore",2020-02-01,"Active Cases",16
"Singapore",2020-02-01,"Total Cases",16
"Singapore",2020-02-01,"Deaths",0
"Singapore",2020-02-01,"Recovered",0
"Singapore",2020-02-02,"Active Cases",18
"Singapore",2020-02-02,"Total Cases",18
"Singapore",2020-02-02,"Deaths",0
"Singapore",2020-02-02,"Recovered",0
"Singapore",2020-02-03,"Active Cases",18
"Singapore",2020-02-03,"Total Cases",18
"Singapore",2020-02-03,"Deaths",0
"Singapore",2020-02-03,"Recovered",0
"Singapore",2020-02-04,"Active Cases",24
"Singapore",2020-02-04,"Total Cases",24
"Singapore",2020-02-04,"Deaths",0
"Singapore",2020-02-04,"Recovered",0
"Singapore",2020-02-05,"Active Cases",28
"Singapore",2020-02-05,"Total Cases",28
"Singapore",2020-02-05,"Deaths",0
"Singapore",2020-02-05,"Recovered",0
"Singapore",2020-02-06,"Active Cases",28
"Singapore",2020-02-06,"Total Cases",28
"Singapore",2020-02-06,"Deaths",0
"Singapore",2020-02-06,"Recovered",0
"Singapore",2020-02-07,"Active Cases",30
"Singapore",2020-02-07,"Total Cases",30
"Singapore",2020-02-07,"Deaths",0
"Singapore",2020-02-07,"Recovered",0
"Singapore",2020-02-08,"Active Cases",31
"Singapore",2020-02-08,"Total Cases",33
"Singapore",2020-02-08,"Deaths",0
"Singapore",2020-02-08,"Recovered",2
"Singapore",2020-02-09,"Active Cases",38
"Singapore",2020-02-09,"Total Cases",40
"Singapore",2020-02-09,"Deaths",0
"Singapore",2020-02-09,"Recovered",2
"Singapore",2020-02-10,"Active Cases",43
"Singapore",2020-02-10,"Total Cases",45
"Singapore",2020-02-10,"Deaths",0
"Singapore",2020-02-10,"Recovered",2
"Singapore",2020-02-11,"Active Cases",38
"Singapore",2020-02-11,"Total Cases",47
"Singapore",2020-02-11,"Deaths",0
"Singapore",2020-02-11,"Recovered",9
"Singapore",2020-02-12,"Active Cases",35
"Singapore",2020-02-12,"Total Cases",50
"Singapore",2020-02-12,"Deaths",0
"Singapore",2020-02-12,"Recovered",15
"Singapore",2020-02-13,"Active Cases",43
"Singapore",2020-02-13,"Total Cases",58
"Singapore",2020-02-13,"Deaths",0
"Singapore",2020-02-13,"Recovered",15
"Singapore",2020-02-14,"Active Cases",50
"Singapore",2020-02-14,"Total Cases",67
"Singapore",2020-02-14,"Deaths",0
"Singapore",2020-02-14,"Recovered",17
"Singapore",2020-02-15,"Active Cases",54
"Singapore",2020-02-15,"Total Cases",72
"Singapore",2020-02-15,"Deaths",0
"Singapore",2020-02-15,"Recovered",18
"Singapore",2020-02-16,"Active Cases",57
"Singapore",2020-02-16,"Total Cases",75
"Singapore",2020-02-16,"Deaths",0
"Singapore",2020-02-16,"Recovered",18
"Singapore",2020-02-17,"Active Cases",53
"Singapore",2020-02-17,"Total Cases",77
"Singapore",2020-02-17,"Deaths",0
"Singapore",2020-02-17,"Recovered",24
"Singapore",2020-02-18,"Active Cases",52
"Singapore",2020-02-18,"Total Cases",81
"Singapore",2020-02-18,"Deaths",0
"Singapore",2020-02-18,"Recovered",29
"Singapore",2020-02-19,"Active Cases",50
"Singapore",2020-02-19,"Total Cases",84
"Singapore",2020-02-19,"Deaths",0
"Singapore",2020-02-19,"Recovered",34
"Singapore",2020-02-20,"Active Cases",50
"Singapore",2020-02-20,"Total Cases",84
"Singapore",2020-02-20,"Deaths",0
"Singapore",2020-02-20,"Recovered",34
"Singapore",2020-02-21,"Active Cases",48
"Singapore",2020-02-21,"Total Cases",85
"Singapore",2020-02-21,"Deaths",0
"Singapore",2020-02-21,"Recovered",37
"Singapore",2020-02-22,"Active Cases",48
"Singapore",2020-02-22,"Total Cases",85
"Singapore",2020-02-22,"Deaths",0
"Singapore",2020-02-22,"Recovered",37
"Singapore",2020-02-23,"Active Cases",38
"Singapore",2020-02-23,"Total Cases",89
"Singapore",2020-02-23,"Deaths",0
"Singapore",2020-02-23,"Recovered",51
"Singapore",2020-02-24,"Active Cases",38
"Singapore",2020-02-24,"Total Cases",89
"Singapore",2020-02-24,"Deaths",0
"Singapore",2020-02-24,"Recovered",51
"Singapore",2020-02-25,"Active Cases",38
"Singapore",2020-02-25,"Total Cases",91
"Singapore",2020-02-25,"Deaths",0
"Singapore",2020-02-25,"Recovered",53
"Singapore",2020-02-26,"Active Cases",31
"Singapore",2020-02-26,"Total Cases",93
"Singapore",2020-02-26,"Deaths",0
"Singapore",2020-02-26,"Recovered",62
"Singapore",2020-02-27,"Active Cases",31
"Singapore",2020-02-27,"Total Cases",93
"Singapore",2020-02-27,"Deaths",0
"Singapore",2020-02-27,"Recovered",62
"Singapore",2020-02-28,"Active Cases",31
"Singapore",2020-02-28,"Total Cases",93
"Singapore",2020-02-28,"Deaths",0
"Singapore",2020-02-28,"Recovered",62
"Singapore",2020-02-29,"Active Cases",30
"Singapore",2020-02-29,"Total Cases",102
"Singapore",2020-02-29,"Deaths",0
"Singapore",2020-02-29,"Recovered",72
"Singapore",2020-03-01,"Active Cases",34
"Singapore",2020-03-01,"Total Cases",106
"Singapore",2020-03-01,"Deaths",0
"Singapore",2020-03-01,"Recovered",72
"Singapore",2020-03-02,"Active Cases",30
"Singapore",2020-03-02,"Total Cases",108
"Singapore",2020-03-02,"Deaths",0
"Singapore",2020-03-02,"Recovered",78
"Singapore",2020-03-03,"Active Cases",32
"Singapore",2020-03-03,"Total Cases",110
"Singapore",2020-03-03,"Deaths",0
"Singapore",2020-03-03,"Recovered",78
"Singapore",2020-03-04,"Active Cases",32
"Singapore",2020-03-04,"Total Cases",110
"Singapore",2020-03-04,"Deaths",0
"Singapore",2020-03-04,"Recovered",78
"Singapore",2020-03-05,"Active Cases",39
"Singapore",2020-03-05,"Total Cases",117
"Singapore",2020-03-05,"Deaths",0
"Singapore",2020-03-05,"Recovered",78
"Singapore",2020-03-06,"Active Cases",52
"Singapore",2020-03-06,"Total Cases",130
"Singapore",2020-03-06,"Deaths",0
"Singapore",2020-03-06,"Recovered",78
"Singapore",2020-03-07,"Active Cases",60
"Singapore",2020-03-07,"Total Cases",138
"Singapore",2020-03-07,"Deaths",0
"Singapore",2020-03-07,"Recovered",78
"Singapore",2020-03-08,"Active Cases",72
"Singapore",2020-03-08,"Total Cases",150
"Singapore",2020-03-08,"Deaths",0
"Singapore",2020-03-08,"Recovered",78
"Singapore",2020-03-09,"Active Cases",72
"Singapore",2020-03-09,"Total Cases",150
"Singapore",2020-03-09,"Deaths",0
"Singapore",2020-03-09,"Recovered",78
"Singapore",2020-03-10,"Active Cases",82
"Singapore",2020-03-10,"Total Cases",160
"Singapore",2020-03-10,"Deaths",0
"Singapore",2020-03-10,"Recovered",78
"Singapore",2020-03-11,"Active Cases",82
"Singapore",2020-03-11,"Total Cases",178
"Singapore",2020-03-11,"Deaths",0
"Singapore",2020-03-11,"Recovered",96
"Singapore",2020-03-12,"Active Cases",82
"Singapore",2020-03-12,"Total Cases",178
"Singapore",2020-03-12,"Deaths",0
"Singapore",2020-03-12,"Recovered",96
"Singapore",2020-03-13,"Active Cases",103
"Singapore",2020-03-13,"Total Cases",200
"Singapore",2020-03-13,"Deaths",0
"Singapore",2020-03-13,"Recovered",97
"Singapore",2020-03-14,"Active Cases",107
"Singapore",2020-03-14,"Total Cases",212
"Singapore",2020-03-14,"Deaths",0
"Singapore",2020-03-14,"Recovered",105
"Singapore",2020-03-15,"Active Cases",121
"Singapore",2020-03-15,"Total Cases",226
"Singapore",2020-03-15,"Deaths",0
"Singapore",2020-03-15,"Recovered",105
"Singapore",2020-03-16,"Active Cases",134
